Experiment,Study,Species A,Species B,species_pair,Fraction inoculum,Training environment,Testing environment,Testing community,AinA mean,AinA se,AinA N,AinB mean,AinB se,AinB N,BinB mean,BinB se,BinB N,BinA mean,BinA se,BinA N,AinR mean,AinR se,AinR N,BinR mean,BinR se,BinR N,author,year,who_entered,study_control_type,control_type,Study_sterilization_method
95,183,ceratopetalum_apetalum,wollemia_nobilis,ceratopetalum_apetalum_wollemia_nobilis,0.09,Field,Lab,Individual,8.68,0.23,42,8.82,0.25,35,10.88,0.41,13,11.28,0.33,20,8.67,0.38,10,9.22,1.88,3,Rigg et al,2016,gaurav,GS,GS,steaming
107,209,trifolium_pratense_4x,trifolium_pratense_2x,trifolium_pratense_trifolium_pratense,0.075,Field,Lab,Population,7.17,0.18,10,5.11,0.2,10,7.66,0.16,10,6.85,0.24,10,0.68852459,0.085576283,2,0.278688525,0.056825511,2,Wagg et al,2014,gaurav,CS,CS,autoclaving
120,261,nassella_pulchra,avena_fatua,avena_fatua_nassella_pulchra,0.0333,Field,Lab,Individual,0.22,0.02,20,0.16,0.01,20,0.45,0.03,20,0.58,0.04,20,0.167,0.0201,9,0.457,0.0331,9,Larios and Suding,2015,gaurav,GS,GS,steaming
121,261,nassella_pulchra,avena_fatua,avena_fatua_nassella_pulchra,0.0333,Field,Lab,Individual,0.22,0.02,20,0.13,0.03,20,0.56,0.04,20,0.51,0.05,20,0.127,0.0247,9,0.524,0.0344,9,Larios and Suding,2015,gaurav,GS,GS,steaming
122,261,nassella_pulchra,avena_fatua,avena_fatua_nassella_pulchra,0.0333,Field,Lab,Individual,0.16,0.03,20,0.17,0.02,20,0.49,0.03,20,0.5,0.03,20,0.155,0.0115,9,0.428,0.0252,9,Larios and Suding,2015,gaurav,GS,GS,steaming
126,171,symphyotrichum_novae-angliae,arnoglossum_atriplicifolium,arnoglossum_atriplicifolium_symphyotrichum_novae-angliae,0.1,Field,Lab,Individual,0.709746417,0.13241081,12,1.303922667,0.076917358,6,0.803283833,0.10817831,12,0.376843167,0.259768978,6,0.13,0.023,7,0.0548,0.0104,6,Whitaker et al,2017,gaurav,FS,FS,autoclaving
126,171,symphyotrichum_novae-angliae,eupatorium_perfoliatum,eupatorium_perfoliatum_symphyotrichum_novae-angliae,0.1,Field,Lab,Individual,0.709746417,0.13241081,12,1.179202333,0.087743353,6,1.668229167,0.089593599,12,1.396888167,0.168768435,6,0.13,0.023,7,0.26,0.059,6,Whitaker et al,2017,gaurav,FS,FS,autoclaving
126,171,symphyotrichum_novae-angliae,vernonia_missurica,symphyotrichum_novae-angliae_vernonia_missurica,0.1,Field,Lab,Individual,0.709746417,0.13241081,12,1.1780655,0.075950276,6,0.634410167,0.124042965,12,0.684666667,0.221421726,6,0.13,0.023,7,0.409,0.034,7,Whitaker et al,2017,gaurav,FS,FS,autoclaving
126,171,arnoglossum_atriplicifolium,eupatorium_perfoliatum,arnoglossum_atriplicifolium_eupatorium_perfoliatum,0.1,Field,Lab,Individual,0.803283833,0.10817831,12,0.507171667,0.271603204,6,1.668229167,0.089593599,12,1.847737167,0.08344722,6,0.0548,0.0104,6,0.26,0.059,6,Whitaker et al,2017,gaurav,FS,FS,autoclaving
126,171,arnoglossum_atriplicifolium,vernonia_missurica,arnoglossum_atriplicifolium_vernonia_missurica,0.1,Field,Lab,Individual,0.803283833,0.10817831,12,0.342585667,0.155400996,6,0.634410167,0.124042965,12,1.04462,0.109693379,6,0.0548,0.0104,6,0.409,0.034,7,Whitaker et al,2017,gaurav,FS,FS,autoclaving
126,171,eupatorium_perfoliatum,vernonia_missurica,eupatorium_perfoliatum_vernonia_missurica,0.1,Field,Lab,Individual,1.668229167,0.089593599,12,1.6982765,0.15530203,6,0.634410167,0.124042965,12,1.6982765,0.15530203,6,0.26,0.059,6,0.409,0.034,7,Whitaker et al,2017,gaurav,FS,FS,autoclaving
127,172,baptisia_alba,coreopsis_tripteris,baptisia_alba_coreopsis_tripteris,0.067,Lab,Lab,Community,0.36,0.105920006,9,0.451,0.127727575,10,0.318,0.078312763,10,0.42125,0.117019026,9,0.0294,0.0119,8,0.0169,0.0053,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,elymus_canadensis,baptisia_alba_elymus_canadensis,0.067,Lab,Lab,Community,0.36,0.105920006,9,0.312,0.033592327,10,2.035,0.452978415,10,2.3675,0.5705685,9,0.0294,0.0119,8,9.98,1.83,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,monarda_fistulosa,baptisia_alba_monarda_fistulosa,0.067,Lab,Lab,Community,0.36,0.105920006,9,0.593333333,0.112716458,10,0.819444444,0.232779999,10,0.739375,0.268189754,9,0.0294,0.0119,8,0.362,0.091,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,melilotus_officinalis,baptisia_alba_melilotus_officinalis,0.067,Lab,Lab,Community,0.36,0.105920006,9,0.405,0.074524418,10,21.527,1.932046727,10,22.2725,1.609352379,9,0.0294,0.0119,8,8.19,3.22,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,parthenium_integrifolium,baptisia_alba_parthenium_integrifolium,0.067,Lab,Lab,Community,0.36,0.105920007,9,0.439,0.086274111,10,0.273,0.048672374,10,0.22375,0.059680033,9,0.0294,0.0119,8,0.0194,0.0048,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,panicum_virgatum,baptisia_alba_panicum_virgatum,0.067,Lab,Lab,Community,0.36,0.105920007,9,0.511,0.107076816,10,1.006,0.169287395,10,1.085,0.223940185,9,0.0294,0.0119,8,1.01,0.28,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,rudbeckia_hirta,baptisia_alba_rudbeckia_hirta,0.067,Lab,Lab,Community,0.36,0.105920007,9,0.466,0.103967944,10,1.101,0.28225855,10,0.601875,0.265518268,9,0.0294,0.0119,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,schizachyrium_scoparium,baptisia_alba_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.36,0.105920007,9,0.396666667,0.104474877,10,0.693333333,0.128345238,10,0.68625,0.195520774,9,0.0294,0.0119,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,baptisia_alba,tradescantia_ohiensis,baptisia_alba_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.36,0.105920008,9,0.147,0.042506209,10,1.373,0.16898422,10,0.5275,0.115919375,9,0.0294,0.0119,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,elymus_canadensis,coreopsis_tripteris_elymus_canadensis,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.531,0.116203366,10,2.035,0.452978415,10,2.566,0.42231689,10,0.0169,0.0053,8,9.98,1.83,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,monarda_fistulosa,coreopsis_tripteris_monarda_fistulosa,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.366666667,0.100149888,10,0.819444444,0.232779999,10,0.905,0.122186106,10,0.0169,0.0053,8,0.362,0.091,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,melilotus_officinalis,coreopsis_tripteris_melilotus_officinalis,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.433,0.13821923,10,21.527,1.932046727,10,20.839,1.285967383,10,0.0169,0.0053,8,8.19,3.22,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,parthenium_integrifolium,coreopsis_tripteris_parthenium_integrifolium,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.311,0.052693031,10,0.273,0.048672374,10,0.282,0.057131427,10,0.0169,0.0053,8,0.0194,0.0048,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,panicum_virgatum,coreopsis_tripteris_panicum_virgatum,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.331,0.104088104,10,1.006,0.169287395,10,0.987,0.29387469,10,0.0169,0.0053,8,1.01,0.28,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,rudbeckia_hirta,coreopsis_tripteris_rudbeckia_hirta,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.578,0.216475813,10,1.101,0.28225855,10,1.066,0.304569642,10,0.0169,0.0053,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,schizachyrium_scoparium,coreopsis_tripteris_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.228888889,0.043314098,10,0.693333333,0.128345238,10,1.067,0.20790516,10,0.0169,0.0053,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,coreopsis_tripteris,tradescantia_ohiensis,coreopsis_tripteris_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.318,0.078312763,10,0.0515,0.012203142,10,1.373,0.16898422,10,0.334,0.048124838,10,0.0169,0.0053,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,monarda_fistulosa,elymus_canadensis_monarda_fistulosa,0.067,Lab,Lab,Community,2.035,0.452978415,10,3.493333333,0.732738016,10,0.819444444,0.232779999,10,0.556,0.100124367,10,9.98,1.83,8,0.362,0.091,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,melilotus_officinalis,elymus_canadensis_melilotus_officinalis,0.067,Lab,Lab,Community,2.035,0.452978415,10,2.489,0.409621641,10,21.527,1.932046727,10,23.687,1.894416973,10,9.98,1.83,8,8.19,3.22,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,parthenium_integrifolium,elymus_canadensis_parthenium_integrifolium,0.067,Lab,Lab,Community,2.035,0.452978415,10,3.178,0.926845067,10,0.273,0.048672374,10,0.225,0.056749939,10,9.98,1.83,8,0.0194,0.0048,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,panicum_virgatum,elymus_canadensis_panicum_virgatum,0.067,Lab,Lab,Community,2.035,0.452978415,10,2.091,0.196895065,10,1.006,0.169287395,10,1.358,0.212104796,10,9.98,1.83,8,1.01,0.28,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,rudbeckia_hirta,elymus_canadensis_rudbeckia_hirta,0.067,Lab,Lab,Community,2.035,0.452978415,10,2.923,0.749284177,10,1.101,0.28225855,10,0.771,0.208941512,10,9.98,1.83,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,schizachyrium_scoparium,elymus_canadensis_schizachyrium_scoparium,0.067,Lab,Lab,Community,2.035,0.452978415,10,2.9,0.370121602,10,0.693333333,0.128345238,10,0.807,0.210676424,10,9.98,1.83,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,elymus_canadensis,tradescantia_ohiensis,elymus_canadensis_tradescantia_ohiensis,0.067,Lab,Lab,Community,2.035,0.452978415,10,6.46,0.927920016,10,1.373,0.16898422,10,0.429,0.154434092,10,9.98,1.83,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,monarda_fistulosa,melilotus_officinalis,melilotus_officinalis_monarda_fistulosa,0.067,Lab,Lab,Community,0.819444444,0.232779999,10,0.853,0.285342095,10,21.527,1.932046727,10,20.72333333,1.62190012,10,0.362,0.091,8,8.19,3.22,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,monarda_fistulosa,parthenium_integrifolium,monarda_fistulosa_parthenium_integrifolium,0.067,Lab,Lab,Community,0.819444444,0.232779999,10,0.999,0.330731344,10,0.273,0.048672374,10,0.307777778,0.051033758,10,0.362,0.091,8,0.0194,0.0048,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,monarda_fistulosa,panicum_virgatum,monarda_fistulosa_panicum_virgatum,0.067,Lab,Lab,Community,0.819444444,0.232779999,10,0.696,0.127742797,10,1.006,0.169287395,10,0.892777778,0.212422208,10,0.362,0.091,8,1.01,0.28,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,monarda_fistulosa,rudbeckia_hirta,monarda_fistulosa_rudbeckia_hirta,0.067,Lab,Lab,Community,0.819444444,0.232779999,10,1.16,0.284093099,10,1.101,0.28225855,10,0.617777778,0.103992521,10,0.362,0.091,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,monarda_fistulosa,schizachyrium_scoparium,monarda_fistulosa_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.819444444,0.232779999,10,0.785555556,0.201581938,10,0.693333333,0.128345238,10,1.164444444,0.261864044,10,0.362,0.091,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,monarda_fistulosa,tradescantia_ohiensis,monarda_fistulosa_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.819444444,0.232779999,10,0.387,0.107455934,10,1.373,0.16898422,10,0.447777778,0.071006651,10,0.362,0.091,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,melilotus_officinalis,parthenium_integrifolium,melilotus_officinalis_parthenium_integrifolium,0.067,Lab,Lab,Community,21.527,1.932046727,10,21.817,1.125645543,10,0.273,0.048672374,10,0.243,0.048535211,10,8.19,3.22,8,0.0194,0.0048,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,melilotus_officinalis,panicum_virgatum,melilotus_officinalis_panicum_virgatum,0.067,Lab,Lab,Community,21.527,1.932046727,10,23.964,1.750071872,10,1.006,0.169287395,10,1.236,0.246018066,10,8.19,3.22,8,1.01,0.28,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,melilotus_officinalis,rudbeckia_hirta,melilotus_officinalis_rudbeckia_hirta,0.067,Lab,Lab,Community,21.527,1.932046727,10,20.849,1.36073138,10,1.101,0.28225855,10,1.252,0.42501451,10,8.19,3.22,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,melilotus_officinalis,schizachyrium_scoparium,melilotus_officinalis_schizachyrium_scoparium,0.067,Lab,Lab,Community,21.527,1.932046727,10,23.80444444,1.875755255,10,0.693333333,0.128345238,10,0.919,0.22280759,10,8.19,3.22,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,melilotus_officinalis,tradescantia_ohiensis,melilotus_officinalis_tradescantia_ohiensis,0.067,Lab,Lab,Community,21.527,1.932046727,10,17.038,1.724989404,10,1.373,0.16898422,10,0.429,0.080075659,10,8.19,3.22,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,parthenium_integrifolium,panicum_virgatum,panicum_virgatum_parthenium_integrifolium,0.067,Lab,Lab,Community,0.273,0.048672374,10,0.255,0.055921572,10,1.006,0.169287395,10,1.387,0.197377529,10,0.0194,0.0048,8,1.01,0.28,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,parthenium_integrifolium,rudbeckia_hirta,parthenium_integrifolium_rudbeckia_hirta,0.067,Lab,Lab,Community,0.273,0.048672374,10,0.185,0.038622101,10,1.101,0.28225855,10,0.503,0.125831015,10,0.0194,0.0048,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,parthenium_integrifolium,schizachyrium_scoparium,parthenium_integrifolium_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.273,0.048672374,10,0.257777778,0.070476552,10,0.693333333,0.128345238,10,0.936,0.209418242,10,0.0194,0.0048,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,parthenium_integrifolium,tradescantia_ohiensis,parthenium_integrifolium_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.273,0.048672374,10,0.036,0.014847372,10,1.373,0.16898422,10,0.324,0.079445299,10,0.0194,0.0048,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,panicum_virgatum,rudbeckia_hirta,panicum_virgatum_rudbeckia_hirta,0.067,Lab,Lab,Community,1.006,0.169287395,10,1.394,0.203301637,10,1.101,0.28225855,10,0.69,0.118406081,10,1.01,0.28,8,0.03,0.0063,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,panicum_virgatum,schizachyrium_scoparium,panicum_virgatum_schizachyrium_scoparium,0.067,Lab,Lab,Community,1.006,0.169287395,10,0.635555556,0.164515281,10,0.693333333,0.128345238,10,0.858,0.260963173,10,1.01,0.28,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,panicum_virgatum,tradescantia_ohiensis,panicum_virgatum_tradescantia_ohiensis,0.067,Lab,Lab,Community,1.006,0.169287395,10,0.662,0.168297356,10,1.373,0.16898422,10,0.301,0.042880972,10,1.01,0.28,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,rudbeckia_hirta,schizachyrium_scoparium,rudbeckia_hirta_schizachyrium_scoparium,0.067,Lab,Lab,Community,1.101,0.28225855,10,0.436666667,0.131624466,10,0.693333333,0.128345238,10,1.332,0.326608158,10,0.03,0.0063,8,0.0406,0.0138,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,rudbeckia_hirta,tradescantia_ohiensis,rudbeckia_hirta_tradescantia_ohiensis,0.067,Lab,Lab,Community,1.101,0.28225855,10,0.0895,0.029743814,10,1.373,0.16898422,10,0.289,0.037960506,10,0.03,0.0063,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
127,172,schizachyrium_scoparium,tradescantia_ohiensis,schizachyrium_scoparium_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.693333333,0.128345238,10,0.1425,0.046231603,10,1.373,0.16898422,10,0.395555556,0.047119824,10,0.0406,0.0138,8,1.56,0.26,8,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,elymus_canadensis,coreopsis_tripteris_elymus_canadensis,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.774666667,0.273114953,9,5.645555556,1.348787739,9,7.6769,1.271161905,10,0.0356,0.0045,10,8.7,1.27,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,monarda_fistulosa,coreopsis_tripteris_monarda_fistulosa,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.7156,0.241348029,10,1.9531,0.701977721,10,1.9797,0.693582136,10,0.0356,0.0045,10,0.322,0.222,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,parthenium_integrifolium,coreopsis_tripteris_parthenium_integrifolium,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.7038,0.230913635,10,0.5948,0.212315844,10,0.7084,0.170631585,10,0.0356,0.0045,10,0.0247,0.0062,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,panicum_virgatum,coreopsis_tripteris_panicum_virgatum,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.7058,0.132580022,10,0.9793,0.241623493,10,0.9485,0.306128958,10,0.0356,0.0045,10,0.141,0.058,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,rudbeckia_hirta,coreopsis_tripteris_rudbeckia_hirta,0.067,Lab,Lab,Community,0.6686,0.18182777,10,1.31755,0.58907222,10,1.0835,0.419762214,10,1.2211,0.283907867,10,0.0356,0.0045,10,0.0179,0.0044,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,sporobolus_heterolepis,coreopsis_tripteris_sporobolus_heterolepis,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.563444444,0.096190221,9,0.063555556,0.015337057,9,0.069,0.01068332,10,0.0356,0.0045,10,0.0154,0.0028,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,schizachyrium_scoparium,coreopsis_tripteris_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.7644,0.396285004,10,0.5552,0.125879731,10,0.5758,0.086034463,10,0.0356,0.0045,10,0.0252,0.0059,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,coreopsis_tripteris,tradescantia_ohiensis,coreopsis_tripteris_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.6686,0.18182777,10,0.1542,0.027507898,10,1.4072,0.327032781,10,0.6345,0.141698918,10,0.0356,0.0045,10,2.82,0.73,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,monarda_fistulosa,elymus_canadensis_monarda_fistulosa,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,6.0829,1.600993639,10,1.9531,0.701977721,10,1.998444444,0.789258497,9,8.7,1.27,10,0.322,0.222,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,parthenium_integrifolium,elymus_canadensis_parthenium_integrifolium,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,7.1873,1.316679587,10,0.5948,0.212315844,10,0.575666667,0.121741529,9,8.7,1.27,10,0.0247,0.0062,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,panicum_virgatum,elymus_canadensis_panicum_virgatum,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,7.2759,1.833047126,10,0.9793,0.241623493,10,0.614666667,0.22536569,9,8.7,1.27,10,0.141,0.058,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,rudbeckia_hirta,elymus_canadensis_rudbeckia_hirta,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,6.2637,0.97992832,10,1.0835,0.419762214,10,1.009333333,0.393616988,9,8.7,1.27,10,0.0179,0.0044,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,sporobolus_heterolepis,elymus_canadensis_sporobolus_heterolepis,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,6.942888889,1.237967302,9,0.063555556,0.015337057,9,0.061777778,0.015746056,9,8.7,1.27,10,0.0154,0.0028,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,schizachyrium_scoparium,elymus_canadensis_schizachyrium_scoparium,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,4.9382,0.921079075,10,0.5552,0.125879731,10,0.392777778,0.073464235,9,8.7,1.27,10,0.0252,0.0059,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,elymus_canadensis,tradescantia_ohiensis,elymus_canadensis_tradescantia_ohiensis,0.067,Lab,Lab,Community,5.645555556,1.348787739,9,7.4228,0.961708789,10,1.4072,0.327032781,10,1.417666667,0.50496606,9,8.7,1.27,10,2.82,0.73,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,monarda_fistulosa,parthenium_integrifolium,monarda_fistulosa_parthenium_integrifolium,0.067,Lab,Lab,Community,1.9531,0.701977721,10,2.185,0.971830472,10,0.5948,0.212315844,10,0.7001,0.296418077,10,0.322,0.222,10,0.0247,0.0062,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,monarda_fistulosa,panicum_virgatum,monarda_fistulosa_panicum_virgatum,0.067,Lab,Lab,Community,1.9531,0.701977721,10,1.7029,0.518547468,10,0.9793,0.241623493,10,0.8702,0.15281178,10,0.322,0.222,10,0.141,0.058,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,monarda_fistulosa,rudbeckia_hirta,monarda_fistulosa_rudbeckia_hirta,0.067,Lab,Lab,Community,1.9531,0.701977721,10,2.9075,1.151222194,10,1.0835,0.419762214,10,1.9116,0.565050995,10,0.322,0.222,10,0.0179,0.0044,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,monarda_fistulosa,sporobolus_heterolepis,monarda_fistulosa_sporobolus_heterolepis,0.067,Lab,Lab,Community,1.9531,0.701977721,10,2.713222222,1.231705308,9,0.063555556,0.015337057,9,0.0569,0.009096336,10,0.322,0.222,10,0.0154,0.0028,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,monarda_fistulosa,schizachyrium_scoparium,monarda_fistulosa_schizachyrium_scoparium,0.067,Lab,Lab,Community,1.9531,0.701977721,10,2.9738,1.1047736,10,0.5552,0.125879731,10,0.4759,0.082227793,10,0.322,0.222,10,0.0252,0.0059,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,monarda_fistulosa,tradescantia_ohiensis,monarda_fistulosa_tradescantia_ohiensis,0.067,Lab,Lab,Community,1.9531,0.701977721,10,0.9089,0.63576969,10,1.4072,0.327032781,10,0.8982,0.190509072,10,0.322,0.222,10,2.82,0.73,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,parthenium_integrifolium,panicum_virgatum,panicum_virgatum_parthenium_integrifolium,0.067,Lab,Lab,Community,0.5948,0.212315844,10,0.8092,0.306985986,10,0.9793,0.241623493,10,0.7437,0.166325855,10,0.0247,0.0062,10,0.141,0.058,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,parthenium_integrifolium,rudbeckia_hirta,parthenium_integrifolium_rudbeckia_hirta,0.067,Lab,Lab,Community,0.5948,0.212315844,10,0.8149,0.253686484,10,1.0835,0.419762214,10,1.2844,0.393991122,10,0.0247,0.0062,10,0.0179,0.0044,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,parthenium_integrifolium,sporobolus_heterolepis,parthenium_integrifolium_sporobolus_heterolepis,0.067,Lab,Lab,Community,0.5948,0.212315844,10,0.641,0.131960116,9,0.063555556,0.015337057,9,0.0798,0.019145525,10,0.0247,0.0062,10,0.0154,0.0028,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,parthenium_integrifolium,schizachyrium_scoparium,parthenium_integrifolium_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.5948,0.212315844,10,0.4099,0.117283081,10,0.5552,0.125879731,10,0.6678,0.235718184,10,0.0247,0.0062,10,0.0252,0.0059,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,parthenium_integrifolium,tradescantia_ohiensis,parthenium_integrifolium_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.5948,0.212315844,10,0.1497,0.028447632,10,1.4072,0.327032781,10,1.0254,0.3205695,10,0.0247,0.0062,10,2.82,0.73,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,panicum_virgatum,rudbeckia_hirta,panicum_virgatum_rudbeckia_hirta,0.067,Lab,Lab,Community,0.9793,0.241623493,10,0.9728,0.21451505,10,1.0835,0.419762214,10,0.9715,0.492033541,10,0.141,0.058,10,0.0179,0.0044,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,panicum_virgatum,sporobolus_heterolepis,panicum_virgatum_sporobolus_heterolepis,0.067,Lab,Lab,Community,0.9793,0.241623493,10,0.508111111,0.093713725,9,0.063555556,0.015337057,9,0.0765,0.022950309,10,0.141,0.058,10,0.0154,0.0028,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,panicum_virgatum,schizachyrium_scoparium,panicum_virgatum_schizachyrium_scoparium,0.067,Lab,Lab,Community,0.9793,0.241623493,10,0.8956,0.31815081,10,0.5552,0.125879731,10,0.5259,0.101859538,10,0.141,0.058,10,0.0252,0.0059,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,panicum_virgatum,tradescantia_ohiensis,panicum_virgatum_tradescantia_ohiensis,0.067,Lab,Lab,Community,0.9793,0.241623493,10,0.3916,0.118638779,10,1.4072,0.327032781,10,0.9283,0.198385038,10,0.141,0.058,10,2.82,0.73,10,Bauer et al,2017,gaurav,FS,GS,heating
128,172,rudbeckia_hirta,sporobolus_heterolepis,rudbeckia_hirta_sporobolus_heterolepis,0.067,Lab,Lab,Community,1.0835,0.419762214,10,0.843444444,0.142234657,9,0.063555556,0.015337057,9,0.121,0.02724661,10,0.0179,0.0044,10,0.0154,0.0028,10,Bauer et al,2017,gaurav,FS,GS,heating
